Date,Location,Province,"
Salinity
",pH,"
Alkaline
(mg/l)","NH4/NH3
(mg/l)",Temperature (0C),"Oxy
(mg/l)","
Viruses cause disease
white spots"
8/1/2023,Sông Cổ Chiên - Châu Thành (Cầu Rạch Gốc),Bến Tre,0.00,7.50,90.00,0.00,28.00,3.00,Không phát hiện
8/1/2023,Bến phà Long Hưng - Hòa Minh - Châu Thành,Bến Tre,0.00,7.50,72.00,0.00,29.00,3.00,Không phát hiện
8/1/2023,Sông Vinh Kim - Cầu Ngang,Bến Tre,0.00,7.50,90.00,0.00,28.00,3.00,Không phát hiện
8/1/2023,Sông Hiệp Mỹ - Cầu Ngang (gần Cầu Hiệp Mỹ),Bến Tre,1.00,8.00,90.00,0.03,27.00,4.00,Không phát hiện
8/1/2023,Cống Thâu Râu -Mỹ Long Nam - Cầu Ngang,Bến Tre,4.00,7.50,72.00,0.00,29.00,4.00,Không phát hiện
8/1/2023,HTX nghêu Thành Đạt - Hiệp Thạnh - TX. Duyên Hải,Bến Tre,9.00,"8,5",90.00,0.00,29.00,4.00,
8/1/2023,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Bến Tre,5.00,7.50,72.00,0.00,29.00,3.00,Không phát hiện
8/1/2023,Sông Long Toàn - TX. Duyên Hải (Cầu Long Toàn),Bến Tre,10.00,7.50,72.00,0.00,30.00,4.00,Không phát hiện
8/1/2023,Cống La Bang - Đôn Châu - Duyên Hải,Bến Tre,1.00,7.00,72.00,0.00,29.00,3.00,Không phát hiện
8/1/2023,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Bến Tre,3.00,8.00,90.00,0.00,27.00,3.00,Không phát hiện
8/1/2023,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Bến Tre,13.00,7.50,90.00,0.00,27.00,3.00,
8/1/2023,Sông Cổ Chiên - Châu Thành (Cầu Rạch Gốc),Bến Tre,0.00,7.50,90.00,3.00,28.00,,
8/4/2023,Bến phà Long Hưng - Hòa Minh - Châu Thành,Bến Tre,0.00,7.50,72.00,3.00,28.00,,
8/4/2023,Sông Vinh Kim - Cầu Ngang,Bến Tre,0.00,7.50,90.00,3.00,29.00,,
8/4/2023,Sông Hiệp Mỹ - Cầu Ngang (gần Cầu Hiệp Mỹ),Bến Tre,3.00,8.00,90.00,4.00,27.00,,
8/4/2023,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Bến Tre,4.00,7.50,72.00,3.00,28.00,,
8/4/2023,Sông Long Toàn - TX. Duyên Hải (Cầu Long Toàn),Bến Tre,6.00,7.50,72.00,4.00,31.00,,
8/4/2023,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Bến Tre,5.00,7.50,72.00,3.00,29.00,,
8/4/2023,HTX nghêu Thành Đạt - Hiệp Thạnh - TX. Duyên Hải,Bến Tre,8.00,8.50,90.00,4.00,28.00,,
8/4/2023,Cống La Bang - Đôn Châu - Duyên Hải,Bến Tre,1.00,7.00,72.00,3.00,29.00,,
8/4/2023,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Bến Tre,2.00,7.00,90.00,3.00,29.00,,
8/4/2023,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Bến Tre,14.00,7.50,90.00,3.00,28.00,,